1:
 num     #instances         #bytes  class name (module)
  84:         11891         380512  java.util.concurrent.ForkJoinTask$RunnableExecuteAction (java.base@25.0.4)
  85:         20749         331984  java.util.concurrent.CopyOnWriteArraySet (java.base@25.0.4)
  86:         20734         331744  java.lang.Integer (java.base@25.0.4)
  87:         20271         324336  java.util.HashMap$EntrySet (java.base@25.0.4)
  88:         20008         320128  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base@25.0.4)
  89:         20004         320064  java.nio.channels.spi.AbstractInterruptibleChannel$1 (java.base@25.0.4)
  90:         20000         320000  com.meirongdev.ssedemo.core.Registry$$Lambda/0x0000700001583c20
  91:         20000         320000  com.meirongdev.ssedemo.core.Session$$Lambda/0x0000700001586d60
  92:         20000         320000  java.lang.VirtualThread$$Lambda/0x00007000014fb3d0 (java.base@25.0.4)
  93:         20000         320000  org.apache.tomcat.websocket.WsFrameBase$UnmaskTransformation
  94:         20000         320000  org.apache.tomcat.websocket.WsRemoteEndpointAsync
  95:         20000         320000  org.apache.tomcat.websocket.WsRemoteEndpointBasic
  96:         20000         320000  org.apache.tomcat.websocket.WsRemoteEndpointImplBase$IntermediateMessageHandler
  97:         20000         320000  org.apache.tomcat.websocket.WsRemoteEndpointImplBase$StateMachine
  98:         20000         320000  org.springframework.util.MultiValueMapAdapter
  99:         19997         319952  java.lang.VirtualThread$$Lambda/0x0000700001562b78 (java.base@25.0.4)
 100:         10397         267128  [Ljava.lang.Class; (java.base@25.0.4)
 101:          5319         255312  java.lang.invoke.MemberName (java.base@25.0.4)
 102:          3752         150080  java.lang.invoke.MethodType (java.base@25.0.4)
 103:            12         146624  [Ljava.util.concurrent.ForkJoinTask; (java.base@25.0.4)
 104:          1915         137880  java.lang.reflect.Field (java.base@25.0.4)
 105:             1         131088  [Ljava.util.concurrent.DelayScheduler$ScheduledForkJoinTask; (java.base@25.0.4)
 106:          3755         120160  jdk.internal.util.WeakReferenceKey (java.base@25.0.4)
 107:          2072         116032  org.springframework.core.ResolvableType
 108:          2216         106368  org.apache.tomcat.util.buf.ByteChunk
 109:          2051          98448  org.apache.tomcat.util.buf.CharChunk
 110:          1996          95808  org.apache.tomcat.util.buf.MessageBytes
 111:          2294          91760  jdk.internal.util.SoftReferenceKey (java.base@25.0.4)
 112:          3624          86976  java.lang.invoke.ResolvedMethodName (java.base@25.0.4)
 113:          1253          80192  java.lang.Class$ReflectionData (java.base@25.0.4)
 114:          2505          80160  java.lang.invoke.LambdaForm$Name (java.base@25.0.4)
 115:          1689          78424  [Ljava.lang.reflect.Method; (java.base@25.0.4)
 116:           380          72960  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
 117:          1723          68920  java.lang.invoke.DirectMethodHandle (java.base@25.0.4)
 118:          1694          67760  java.lang.ref.SoftReference (java.base@25.0.4)
 119:          2526          60624  java.util.ImmutableCollections$List12 (java.base@25.0.4)
 120:          1261          60528  java.lang.invoke.DirectMethodHandle$Constructor (java.base@25.0.4)
 121:           680          48960  java.lang.reflect.Constructor (java.base@25.0.4)
 122:          1096          43840  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@25.0.4)
 123:          1728          41472  sun.reflect.annotation.AnnotationInvocationHandler (java.base@25.0.4)
 124:          1650          39600  jdk.jfr.AnnotationElement (jdk.jfr@25.0.4)
 125:           514          39064  [Ljava.lang.ref.SoftReference; (java.base@25.0.4)
 126:           683          38248  org.springframework.core.annotation.TypeMappedAnnotation
 127:          1258          37480  [Ljava.lang.CharSequence; (java.base@25.0.4)
 128:          1555          37320  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@25.0.4)
 129:          1158          37056  java.util.Locale (java.base@25.0.4)
 130:          1158          37056  sun.util.locale.BaseLocale (java.base@25.0.4)
 131:           843          33720  jdk.jfr.ValueDescriptor (jdk.jfr@25.0.4)
 132:           838          33520  org.springframework.boot.context.properties.source.ConfigurationPropertyName
 133:           838          33520  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
 134:          1033          33056  java.lang.ref.ReferenceQueue (java.base@25.0.4)
 135:           513          32832  org.springframework.core.MethodParameter
 136:             2          32800  [Ljdk.internal.ref.PhantomCleanable; (java.base@25.0.4)
 137:           664          31872  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
 138:           181          31856  org.springframework.beans.factory.support.RootBeanDefinition
 139:           784          31360  org.springframework.util.ConcurrentReferenceHashMap$Segment
 140:          1270          30480  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@25.0.4)
 141:           784          30440  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
 142:           708          28320  java.lang.invoke.BoundMethodHandle$Species_L (java.base@25.0.4)
 143:           533          28224  [Ljava.lang.invoke.LambdaForm$Name; (java.base@25.0.4)
 144:           187          27392  [Z (java.base@25.0.4)
 145:          1110          26640  java.util.LinkedHashMap$LinkedKeySet (java.base@25.0.4)
 146:            94          26320  java.util.concurrent.atomic.Striped64$Cell (java.base@25.0.4)
 147:          1095          26280  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@25.0.4)
 148:           528          25344  java.lang.invoke.LambdaForm (java.base@25.0.4)
 149:            17          24936  [Ljava.nio.ByteBuffer; (java.base@25.0.4)
 150:           640          24088  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
 151:          1468          23488  java.util.LinkedHashSet (java.base@25.0.4)
 152:           928          22272  java.util.LinkedHashMap$LinkedValues (java.base@25.0.4)
 153:          1342          21472  java.util.HashSet (java.base@25.0.4)
 154:           886          21264  java.lang.Class$AnnotationData (java.base@25.0.4)
 155:           200          20800  jdk.jfr.internal.PlatformEventType (jdk.jfr@25.0.4)
 156:           511          20440  java.util.TreeMap$Entry (java.base@25.0.4)
 157:          1095          20312  [Lsun.reflect.generics.tree.TypeArgument; (java.base@25.0.4)
 158:           271          19512  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 159:           403          19344  ch.qos.logback.classic.Logger
 160:           223          19184  [Ljava.util.WeakHashMap$Entry; (java.base@25.0.4)
 161:           296          18944  java.security.Provider$Service (java.base@25.0.4)
 162:           784          18816  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 163:           775          18600  java.security.Provider$ServiceKey (java.base@25.0.4)
 164:            99          17944  [Ljava.lang.invoke.MethodHandle; (java.base@25.0.4)
 165:           743          17832  java.lang.module.ModuleDescriptor$Exports (java.base@25.0.4)
 166:           444          17760  java.math.BigInteger (java.base@25.0.4)
 167:          1073          17168  sun.reflect.generics.tree.ClassTypeSignature (java.base@25.0.4)
 168:          1035          16560  java.lang.ref.ReferenceQueue$Lock (java.base@25.0.4)
 169:           409          16360  java.lang.Package$VersionInfo (java.base@25.0.4)
 170:           407          16280  [Ljava.util.HashSet; (java.base@25.0.4)
 171:           668          16032  jdk.internal.constant.ClassOrInterfaceDescImpl (java.base@25.0.4)
 172:          1000          16000  jdk.internal.classfile.impl.LineNumberImpl (java.base@25.0.4)
 173:            89          15984  [J (java.base@25.0.4)
 174:           664          15936  org.springframework.util.ConcurrentReferenceHashMap$Entry
 175:           485          15520  java.lang.Package (java.base@25.0.4)
 176:           645          15480  java.lang.invoke.LambdaForm$NamedFunction (java.base@25.0.4)
 177:           640          15360  org.springframework.beans.factory.annotation.InjectionMetadata
 178:           605          14632  [Ljava.lang.reflect.Type; (java.base@25.0.4)
 179:           431          14544  [Ljava.lang.reflect.Field; (java.base@25.0.4)
