1:
 num     #instances         #bytes  class name (module)
  86:           618          14832  java.lang.invoke.LambdaForm$NamedFunction (java.base@25.0.4)
  87:           922          14752  java.util.HashSet (java.base@25.0.4)
  88:           587          14168  [Ljava.lang.reflect.Type; (java.base@25.0.4)
  89:           584          14096  [Lorg.springframework.core.ResolvableType;
  90:           117          14040  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
  91:           345          13800  org.springframework.core.type.classreading.ClassFileMethodMetadata
  92:           564          13536  java.util.concurrent.ConcurrentLinkedDeque (java.base@25.0.4)
  93:           845          13520  java.lang.Integer (java.base@25.0.4)
  94:           562          13488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
  95:           332          13280  java.lang.invoke.MethodTypeForm (java.base@25.0.4)
  96:           817          13072  java.util.concurrent.atomic.AtomicInteger (java.base@25.0.4)
  97:           408          13056  org.springframework.boot.loader.net.protocol.nested.NestedUrlConnectionResources
  98:           397          12704  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
  99:           770          12320  org.springframework.core.ResolvableType$DefaultVariableResolver
 100:           367          11936  [Ljava.lang.reflect.Field; (java.base@25.0.4)
 101:           283          11320  java.lang.reflect.Parameter (java.base@25.0.4)
 102:           469          11256  java.util.ImmutableCollections$Set12 (java.base@25.0.4)
 103:           280          11200  sun.security.util.KnownOIDs (java.base@25.0.4)
 104:           465          11160  java.util.jar.Attributes$Name (java.base@25.0.4)
 105:           696          11136  java.util.concurrent.CopyOnWriteArraySet (java.base@25.0.4)
 106:           345          11040  org.springframework.core.type.classreading.ClassFileMethodMetadata$Source
 107:           686          10976  org.springframework.beans.factory.support.MethodOverrides
 108:           341          10912  jdk.internal.math.FDBigInteger (java.base@25.0.4)
 109:           453          10872  jdk.internal.classfile.impl.AccessFlagsImpl (java.base@25.0.4)
 110:           675          10800  org.springframework.core.type.classreading.ClassFileAnnotationDelegate$Source
 111:           148          10656  org.springframework.core.annotation.AnnotationTypeMapping
 112:           132          10560  java.net.URI (java.base@25.0.4)
 113:           219          10512  java.util.WeakHashMap (java.base@25.0.4)
 114:           315          10080  java.lang.module.ModuleDescriptor$Requires (java.base@25.0.4)
 115:             4           9984  [Ljava.util.Locale; (java.base@25.0.4)
 116:           407           9768  jdk.internal.constant.MethodTypeDescImpl (java.base@25.0.4)
 117:           400           9600  java.util.LinkedList$Node (java.base@25.0.4)
 118:           412           9576  [Ljava.lang.reflect.Constructor; (java.base@25.0.4)
 119:            92           9568  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile
 120:           197           9456  java.util.logging.LogManager$LoggerWeakRef (java.logging@25.0.4)
 121:           357           9440  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 122:           194           9312  java.lang.invoke.LambdaFormEditor$Transform (java.base@25.0.4)
 123:           342           9000  [Lorg.springframework.core.annotation.MergedAnnotation;
 124:           560           8960  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 125:           180           8640  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@25.0.4)
 126:           358           8592  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@25.0.4)
 127:           213           8520  java.lang.classfile.Opcode (java.base@25.0.4)
 128:           132           8448  java.lang.module.ModuleDescriptor (java.base@25.0.4)
 129:           264           8448  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@25.0.4)
 130:           341           8184  org.springframework.beans.MutablePropertyValues
 131:           341           8184  org.springframework.core.annotation.MergedAnnotationsCollection
 132:           204           8160  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@25.0.4)
 133:           321           7704  java.util.LinkedHashMap$LinkedEntrySet (java.base@25.0.4)
 134:           317           7608  java.util.ImmutableCollections$SetN (java.base@25.0.4)
 135:           190           7600  java.util.WeakHashMap$Entry (java.base@25.0.4)
 136:           232           7424  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 137:           309           7416  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 138:           309           7416  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 139:           308           7392  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@25.0.4)
 140:           130           7280  jdk.internal.module.ModuleReferenceImpl (java.base@25.0.4)
 141:           113           7232  java.net.URL (java.base@25.0.4)
 142:           271           7112  [Ljava.lang.constant.ClassDesc; (java.base@25.0.4)
 143:           290           7008  [Ljava.lang.annotation.Annotation; (java.base@25.0.4)
 144:           286           6864  sun.reflect.generics.factory.CoreReflectionFactory (java.base@25.0.4)
 145:           274           6576  java.security.Provider$UString (java.base@25.0.4)
 146:           270           6480  javax.management.ImmutableDescriptor (java.management@25.0.4)
 147:           268           6432  org.springframework.beans.BeanMetadataAttribute
 148:           256           6144  java.lang.Long (java.base@25.0.4)
 149:           108           6048  org.springframework.core.type.classreading.ClassFileAnnotationMetadata
 150:           125           6000  org.springframework.core.annotation.TypeMappedAnnotations
 151:           107           5992  org.springframework.context.annotation.ConfigurationClass
 152:           186           5952  org.springframework.boot.context.properties.bind.JavaBeanBinder$BeanProperty
 153:           186           5952  sun.reflect.generics.repository.ClassRepository (java.base@25.0.4)
 154:           247           5928  org.springframework.aop.framework.autoproxy.AbstractAutoProxyCreator$ComposedCacheKey
 155:           180           5760  java.util.Collections$UnmodifiableMap (java.base@25.0.4)
 156:           119           5712  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@25.0.4)
 157:           228           5472  org.springframework.context.annotation.BeanMethod
 158:           339           5424  java.lang.Character$UnicodeBlock (java.base@25.0.4)
 159:           225           5400  java.util.ImmutableCollections$List12 (java.base@25.0.4)
 160:           167           5344  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@25.0.4)
 161:           219           5256  java.lang.reflect.AccessFlag$AccessFlagSet (java.base@25.0.4)
 162:            93           5208  java.util.logging.Logger (java.logging@25.0.4)
 163:           159           5088  java.util.concurrent.atomic.LongAdder (java.base@25.0.4)
 164:           287           5072  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@25.0.4)
 165:           208           4992  javax.management.ObjectName$Property (java.management@25.0.4)
 166:           183           4976  [Ljavax.management.ObjectName$Property; (java.management@25.0.4)
 167:           309           4944  org.springframework.boot.autoconfigure.condition.ConditionMessage
 168:           154           4928  java.util.logging.LogManager$LogNode (java.logging@25.0.4)
 169:           204           4896  java.util.regex.Pattern$BmpCharProperty (java.base@25.0.4)
 170:           122           4880  java.lang.invoke.DirectMethodHandle$Interface (java.base@25.0.4)
 171:            43           4816  org.springframework.boot.loader.jar.NestedJarFile$NestedJarEntry
 172:           194           4656  java.util.ArrayDeque (java.base@25.0.4)
 173:           193           4632  java.util.Collections$SetFromMap (java.base@25.0.4)
 174:           187           4488  sun.reflect.generics.scope.ClassScope (java.base@25.0.4)
 175:           186           4464  sun.reflect.generics.tree.ClassSignature (java.base@25.0.4)
 176:           218           4416  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@25.0.4)
 177:           184           4416  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@25.0.4)
 178:           135           4320  org.springframework.core.convert.TypeDescriptor
 179:           186           4256  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@25.0.4)
 180:            66           4224  java.util.zip.Inflater (java.base@25.0.4)
 181:           263           4208  java.util.HashMap$EntrySet (java.base@25.0.4)
 182:           172           4128  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@25.0.4)
 183:             1           4112  [Ljava.lang.classfile.constantpool.PoolEntry; (java.base@25.0.4)
 184:             1           4112  [Ljava.nio.ByteBuffer; (java.base@25.0.4)
 185:           256           4096  java.lang.Byte (java.base@25.0.4)
 186:           256           4096  java.lang.Short (java.base@25.0.4)
 187:           146           4032  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 188:            72           4032  java.lang.Module (java.base@25.0.4)
 189:           148           3928  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 190:            49           3920  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 191:            98           3920  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@25.0.4)
 192:            81           3888  java.lang.invoke.DirectMethodHandle$Accessor (java.base@25.0.4)
 193:           238           3808  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 194:            95           3800  sun.reflect.generics.repository.MethodRepository (java.base@25.0.4)
 195:            94           3760  java.util.logging.Logger$ConfigurationData (java.logging@25.0.4)
 196:            47           3760  org.springframework.boot.loader.zip.ZipContent
 197:           117           3744  org.springframework.core.type.StandardAnnotationMetadata
 198:           138           3688  [Ljava.lang.reflect.Parameter; (java.base@25.0.4)
 199:           113           3616  org.springframework.core.io.ClassPathResource
 200:           148           3552  org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets
 201:           178           3528  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@25.0.4)
 202:            87           3480  io.micrometer.core.instrument.Meter$Id
 203:            39           3432  java.util.regex.Pattern (java.base@25.0.4)
 204:           138           3312  java.lang.reflect.Executable$ParameterData (java.base@25.0.4)
 205:           137           3288  tools.jackson.databind.type.ClassKey
 206:            51           3264  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@25.0.4)
 207:           101           3232  sun.reflect.generics.tree.MethodTypeSignature (java.base@25.0.4)
 208:            63           3224  [Ljavax.management.MBeanAttributeInfo; (java.management@25.0.4)
 209:           199           3184  org.apache.commons.logging.impl.Slf4jLogFactory$Slf4jLocationAwareLog
 210:            49           3136  jdk.internal.classfile.impl.AbstractPoolEntry$Utf8EntryImpl (java.base@25.0.4)
 211:           188           3008  java.util.WeakHashMap$KeySet (java.base@25.0.4)
 212:            94           3008  java.util.zip.ZipFile$CleanableResource (java.base@25.0.4)
 213:           188           3008  jdk.proxy2.$Proxy35 (jdk.proxy2)
 214:            62           2976  javax.management.MBeanInfo (java.management@25.0.4)
 215:            92           2944  javax.management.ObjectName (java.management@25.0.4)
 216:            92           2944  org.springframework.boot.loader.jar.NestedJarFileResources
 217:            60           2880  java.util.TreeMap (java.base@25.0.4)
 218:           119           2856  java.lang.module.ModuleDescriptor$Provides (java.base@25.0.4)
 219:            89           2848  org.springframework.boot.loader.zip.FileDataBlock
 220:            89           2848  sun.reflect.annotation.AnnotationType (java.base@25.0.4)
 221:           116           2784  java.util.Collections$SingletonList (java.base@25.0.4)
 222:            38           2736  java.util.ResourceBundle$CacheKey (java.base@25.0.4)
 223:           112           2688  java.util.Collections$UnmodifiableRandomAccessList (java.base@25.0.4)
 224:            84           2688  org.springframework.format.support.FormattingConversionService$AnnotationParserConverter
 225:            84           2688  org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter
 226:           110           2640  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 227:            81           2592  org.springframework.core.annotation.AttributeMethods
 228:            64           2560  org.springframework.http.HttpStatus
 229:            53           2544  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@25.0.4)
 230:           159           2544  org.springframework.core.convert.TypeDescriptor$$Lambda/0x00007000010c9808
 231:           105           2520  java.util.regex.Pattern$$Lambda/0x800000028 (java.base@25.0.4)
 232:           157           2512  java.util.Collections$UnmodifiableSet (java.base@25.0.4)
 233:           103           2472  [[C (java.base@25.0.4)
 234:           101           2464  [Lsun.reflect.generics.tree.TypeSignature; (java.base@25.0.4)
 235:            76           2432  java.util.ResourceBundle$KeyElementReference (java.base@25.0.4)
 236:            43           2408  org.springframework.boot.loader.zip.ZipCentralDirectoryFileHeaderRecord
 237:            49           2352  org.springframework.util.ConcurrentReferenceHashMap
 238:             2           2336  [Ljava.util.concurrent.ForkJoinTask; (java.base@25.0.4)
 239:            58           2320  java.security.CodeSource (java.base@25.0.4)
 240:            16           2304  [Ljava.lang.invoke.MemberName; (java.base@25.0.4)
 241:            96           2304  java.util.ImmutableCollections$ListN (java.base@25.0.4)
 242:            72           2304  javax.management.MBeanAttributeInfo (java.management@25.0.4)
 243:            95           2280  sun.reflect.generics.scope.MethodScope (java.base@25.0.4)
 244:            92           2208  org.springframework.boot.loader.net.protocol.jar.UrlJarManifest
 245:            68           2176  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@25.0.4)
 246:            54           2160  java.io.ObjectStreamField (java.base@25.0.4)
 247:            90           2160  org.springframework.beans.factory.config.BeanDefinitionHolder
 248:            53           2120  sun.security.util.NamedCurve (java.base@25.0.4)
 249:            79           2112  [Ljava.lang.annotation.ElementType; (java.base@25.0.4)
 250:           130           2080  jdk.internal.module.SystemModuleFinders$1 (java.base@25.0.4)
 251:            43           2064  org.apache.tomcat.util.buf.ByteChunk
 252:           128           2048  java.lang.Character (java.base@25.0.4)
 253:            63           2016  org.springframework.asm.Type
 254:           126           2016  org.springframework.util.LinkedMultiValueMap
 255:            82           1960  [Ljava.lang.reflect.TypeVariable; (java.base@25.0.4)
 256:           122           1952  jdk.internal.module.SystemModuleFinders$2 (java.base@25.0.4)
 257:            60           1920  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@25.0.4)
 258:            79           1896  java.util.Arrays$ArrayList (java.base@25.0.4)
 259:            79           1896  org.springframework.cglib.core.Signature
 260:            59           1888  java.security.ProtectionDomain (java.base@25.0.4)
 261:            78           1872  org.springframework.core.convert.support.GenericConversionService$ConverterCacheKey
 262:            29           1856  org.apache.tomcat.util.res.StringManager$1
 263:            58           1856  org.springframework.format.support.FormattingConversionService$PrinterConverter
 264:            58           1856  sun.nio.fs.UnixPath (java.base@25.0.4)
 265:            77           1848  io.micrometer.core.instrument.ImmutableTag
 266:            77           1848  java.util.concurrent.atomic.AtomicLong (java.base@25.0.4)
 267:            37           1776  org.apache.tomcat.util.buf.CharChunk
 268:            55           1760  org.springframework.http.MediaType
 269:            71           1704  org.springframework.core.annotation.AnnotationTypeMappings
 270:            53           1696  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@25.0.4)
 271:            53           1696  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@25.0.4)
 272:            53           1696  java.security.spec.EllipticCurve (java.base@25.0.4)
 273:           106           1696  org.springframework.expression.common.LiteralExpression
 274:            53           1696  sun.security.util.ObjectIdentifier (java.base@25.0.4)
 275:            15           1680  java.lang.Thread (java.base@25.0.4)
 276:            35           1680  org.apache.tomcat.util.buf.MessageBytes
 277:            42           1680  org.springframework.beans.propertyeditors.CustomNumberEditor
 278:            52           1664  java.lang.invoke.LambdaForm$Kind (java.base@25.0.4)
 279:            48           1656  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@25.0.4)
 280:            69           1656  java.util.regex.Pattern$GroupHead (java.base@25.0.4)
 281:            69           1656  java.util.regex.Pattern$GroupTail (java.base@25.0.4)
 282:            34           1632  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@25.0.4)
 283:            51           1632  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@25.0.4)
 284:            68           1632  sun.reflect.generics.tree.FormalTypeParameter (java.base@25.0.4)
 285:            40           1600  javax.management.MBeanOperationInfo (java.management@25.0.4)
 286:            33           1584  java.time.temporal.ValueRange (java.base@25.0.4)
 287:            66           1584  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@25.0.4)
 288:            66           1584  java.util.zip.Inflater$InflaterZStreamRef (java.base@25.0.4)
 289:            66           1584  org.springframework.boot.autoconfigure.condition.OnClassCondition
 290:             1           1576  [Ljava.lang.Character$UnicodeBlock; (java.base@25.0.4)
 291:            24           1536  sun.security.ec.SunEC$ProviderServiceA (java.base@25.0.4)
 292:            38           1520  java.util.ResourceBundle$BundleReference (java.base@25.0.4)
 293:            63           1512  io.micrometer.core.instrument.internal.DefaultGauge
 294:            37           1480  java.time.format.DateTimeFormatter (java.base@25.0.4)
 295:            46           1472  org.springframework.boot.loader.net.protocol.jar.JarFileUrlKey
 296:            92           1472  org.springframework.boot.loader.net.protocol.jar.UrlJarFiles$$Lambda/0x0000700001048d90
 297:            92           1472  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile$$Lambda/0x0000700001054208
 298:            61           1464  java.lang.module.ResolvedModule (java.base@25.0.4)
 299:            61           1464  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@25.0.4)
 300:            51           1456  [Ljavax.management.MBeanOperationInfo; (java.management@25.0.4)
 301:            30           1440  java.time.temporal.ChronoField (java.base@25.0.4)
 302:            45           1440  tools.jackson.databind.introspect.AnnotatedMethod$MethodHolder
 303:            22           1408  org.springframework.beans.factory.support.DefaultListableBeanFactory$NestedDependencyDescriptor
 304:             1           1400  [[B (java.base@25.0.4)
 305:            35           1400  ch.qos.logback.core.status.InfoStatus
 306:            87           1392  org.apache.juli.logging.DirectJDKLog
 307:            58           1392  org.springframework.format.support.FormattingConversionService$ParserConverter
 308:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@25.0.4)
 309:            86           1376  jdk.proxy2.$Proxy29 (jdk.proxy2)
 310:            43           1376  org.springframework.boot.loader.zip.ZipContent$Entry
 311:            40           1368  [Ljava.math.BigInteger; (java.base@25.0.4)
 312:            34           1360  java.lang.invoke.VarHandle$AccessDescriptor (java.base@25.0.4)
 313:            28           1344  java.lang.Thread$FieldHolder (java.base@25.0.4)
 314:            24           1344  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@25.0.4)
 315:            42           1344  javax.management.MBeanParameterInfo (java.management@25.0.4)
 316:            53           1312  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@25.0.4)
 317:            41           1312  org.springframework.boot.context.properties.bind.BindConverter$ResolvableTypeDescriptor
 318:            54           1296  java.security.spec.ECPoint (java.base@25.0.4)
 319:            54           1296  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@25.0.4)
 320:            18           1296  org.springframework.core.annotation.AnnotatedMethod$AnnotatedMethodParameter
 321:            32           1280  java.util.PropertyResourceBundle (java.base@25.0.4)
 322:            52           1248  java.security.Permissions (java.base@25.0.4)
 323:            31           1240  tools.jackson.databind.MapperFeature
 324:            77           1232  jdk.proxy1.$Proxy0 (jdk.proxy1)
 325:            77           1232  jdk.proxy1.$Proxy3 (jdk.proxy1)
 326:            76           1216  java.util.regex.Pattern$$Lambda/0x800000027 (java.base@25.0.4)
